"item_id","item_name","media_type","date_created","date_modified","file","description","rendered_flag","labeled_flag","html5_flag","flag1","flag2"
1,"Heart0006","video","2011-08-30 14:16:15","2014-06-09 13:00:09","Heart0006-Functional-Right-Atrium-Right-Atrial-Appendage","View of the right atrial appendage.  The pectinate muscles are shown as well as the very thin membranous region between.  The crista terminalis is the upside down &quot;U-shaped&quot; structure at the top of the screen.",1,1,1,0,0
2,"Heart0008","still","2011-08-30 14:16:15","2012-09-05 16:44:34","Heart0008-Functional-Right-Atrium-Right-Atrial-Appendage","In this image, the camera is sitting in the right atrial chamber and pointing slightly upward in order to view the inside of the appendage. Pectinate muscles can be seen in the lower left hand corner, while the light colored areas in the distance are the appendage wall.  The crista terminalis is seen traversing the upper right corner of the screen, while the sagittal band travels from the upper left corner of the image through the middle of the image.
",0,1,0,0,0
3,"Heart0009","video","2011-08-30 14:16:15","2012-09-05 16:44:34","Heart0009-Functional-Right-Atrium-Right-Atrial-Appendage","View of the right atrial free wall.  The pectinate muscles can be seen as well as the very thin membranous regions between.  The right atrial appendage is off the screen to the upper left.
",1,1,1,0,0
4,"Heart0013","video","2011-08-30 14:16:15","2012-09-05 16:44:34","Heart0013-Functional-Right-Atrium-Right-Atrial-Appendage","View of the right atrial appendage showing the pectinate muscles and the very thin membranous regions in between.  A Medtronic business card can clearly be read through the wall.
",1,1,1,0,0
5,"Heart0014","video","2011-08-30 14:16:15","2012-09-05 16:44:34","Heart0014-Functional-Right-Atrium-Right-Atrial-Appendage","View of the central portion of the crista terminalis as well as the anterior portion of the right atrial free wall.  The atrial appendage is off the screen to the upper left.  Pectinate muscles can be seen, as well as the very thin membranous regions between.
",1,1,1,0,0
6,"Heart0015","video","2011-08-30 14:16:15","2012-09-05 16:44:34","Heart0015-Functional-Right-Atrium-Right-Atrial-Appendage","View of the anterior free wall of the right atrium.  The crista terminalis can be seen at the very top of the screen.  The right atrial appendage is located to the left and upper left of the screen and continues off the screen.
",1,1,1,0,0
7,"Heart0017","video","2011-08-30 14:16:15","2012-09-05 16:44:34","Heart0017-Functional-Right-Atrium-Right-Atrial-Appendage","Rotated view of the RAA, with the top of the image being the anterior aspect of the RAA. In this view, the sagittal band is the large structure in the middle of the screen.  The crista terminalis is off the screen on the right hand side.
",1,1,1,0,0
8,"Heart0023","video","2011-08-30 14:16:15","2012-09-05 16:44:34","Heart0023-Functional-Right-Atrium-Right-Atrial-Appendage","In this image, the camera is sitting in the right atrial chamber and pointing slightly upward in order to view the inside of the appendage. In this image, the sagittal band travels from the upper left hand corner to the center of the RAA.  The RAA freewall is on the right and the crista terminalis is above this image, travelling parallel to the free wall and perpindicular to the sagittal band.
",1,1,1,0,0
9,"Heart0026","video","2011-08-30 14:16:15","2012-09-05 16:44:34","Heart0026-Functional-Right-Atrium-Right-Atrial-Appendage","Atrial fibrillation can be seen on the appendage wall.  Crista terminalis on the upper right, fibrillation observed in the pectinate muscles on the left.
",1,1,1,0,0
10,"Heart0037-1","video","2011-08-30 14:16:15","2012-09-05 16:44:34","Heart0037-Functional-Right-Atrium-Right-Atrial-Appendage-1","Atrial fibrillation in RA appendage; crista terminalis on upper right.
",1,1,1,0,0
11,"Heart0037-2","video","2011-08-30 14:16:15","2012-09-05 16:44:34","Heart0037-Functional-Right-Atrium-Right-Atrial-Appendage-2","Atrial fibrillation in RA appendage pectinate muscles; note how thin walled the RA is between pectinate muscles.
",1,1,1,0,0
12,"Heart0048-1","video","2011-08-30 14:16:15","2012-09-05 16:44:34","Heart0048-Functional-Right-Atrium-Right-Atrial-Appendage-1","Right atrial appendage is backlit in contracting heart; backlit is turned off during the clip. The tricuspid valve is to the left of the screen; note how thin walled the RA is between pectinate muscles.
",1,1,1,0,0
